language,framing,sure_choice
English,gain,1
English,gain,1
English,gain,1
English,gain,1
English,gain,1
English,gain,1
English,gain,1
English,gain,1
English,gain,1
English,gain,1
English,gain,1
English,gain,1
English,gain,1
English,gain,1
English,gain,1
English,gain,1
English,gain,1
English,gain,1
English,gain,1
English,gain,1
English,gain,1
English,gain,1
English,gain,1
English,gain,1
English,gain,0
English,gain,0
English,gain,0
English,gain,0
English,gain,0
English,gain,0
English,gain,0
English,loss,1
English,loss,1
English,loss,1
English,loss,1
English,loss,1
English,loss,1
English,loss,1
English,loss,1
English,loss,1
English,loss,1
English,loss,1
English,loss,1
English,loss,1
English,loss,1
English,loss,0
English,loss,0
English,loss,0
English,loss,0
English,loss,0
English,loss,0
English,loss,0
English,loss,0
English,loss,0
English,loss,0
English,loss,0
English,loss,0
English,loss,0
English,loss,0
English,loss,0
English,loss,0
Japanese,gain,1
Japanese,gain,1
Japanese,gain,1
Japanese,gain,1
Japanese,gain,1
Japanese,gain,1
Japanese,gain,1
Japanese,gain,1
Japanese,gain,1
Japanese,gain,1
Japanese,gain,1
Japanese,gain,1
Japanese,gain,1
Japanese,gain,0
Japanese,gain,0
Japanese,gain,0
Japanese,gain,0
Japanese,gain,0
Japanese,gain,0
Japanese,gain,0
Japanese,gain,0
Japanese,gain,0
Japanese,gain,0
Japanese,gain,0
Japanese,gain,0
Japanese,gain,0
Japanese,gain,0
Japanese,gain,0
Japanese,gain,0
Japanese,gain,0
Japanese,loss,1
Japanese,loss,1
Japanese,loss,1
Japanese,loss,1
Japanese,loss,1
Japanese,loss,1
Japanese,loss,1
Japanese,loss,1
Japanese,loss,1
Japanese,loss,1
Japanese,loss,1
Japanese,loss,1
Japanese,loss,0
Japanese,loss,0
Japanese,loss,0
Japanese,loss,0
Japanese,loss,0
Japanese,loss,0
Japanese,loss,0
Japanese,loss,0
Japanese,loss,0
Japanese,loss,0
Japanese,loss,0
Japanese,loss,0
Japanese,loss,0
Japanese,loss,0
Japanese,loss,0
Japanese,loss,0
Japanese,loss,0
Japanese,loss,0
