"SubjectID","Condition","ProportionCongruent"
"59b197ec251e0","strategy",0.586206896551724
"59b3a2ae8fd4a","no information",0.758620689655172
"59b9482649f72","information",0.517241379310345
"59b966ec6d23c","strategy",0.862068965517241
"59b9b20657c9f","information",0.655172413793103
"59bbff205a5fe","no information",0.517241379310345
"59c262376e2c6","information",0.413793103448276
"59c2ca8614643","strategy",0.482758620689655
"59c355f919e4b","no information",0.758620689655172
"59c361564d852","no information",0.379310344827586
"59c37228cd472","information",0.482758620689655
"59c3c0eba196c","strategy",0.379310344827586
"59c3eb0c17af3","information",0.413793103448276
"59c404d9bbfd3","strategy",0.344827586206897
"59c4ba17242c4","no information",0.517241379310345
"59c4cd3a5f52f","information",0.137931034482759
"59c4dae448c39","no information",0.310344827586207
"59c7773898f90","strategy",1
"59c78014a0c1b","no information",0.413793103448276
"59c7c266f1bac","information",0.482758620689655
"59c941bcb5131","strategy",0.758620689655172
"59ca41d68df36","strategy",0.896551724137931
"59ca4e26b4c63","information",0.689655172413793
"59ca843885c60","no information",0.586206896551724
"59cb363723988","information",0.103448275862069
"59cbb01ea1926","strategy",0.620689655172414
"59cc17ac18cc1","no information",0.689655172413793
"59ce511da51f5","no information",0.620689655172414
"59cf618f290d9","information",0.724137931034483
"59cf63c043e18","strategy",0.517241379310345
"59cfc2937ad90","information",0.620689655172414
"59d28f4575476","strategy",0.551724137931034
"59d3ad77c6e19","strategy",0.413793103448276
"59d3cbea6f4be","no information",0.517241379310345
"59d7a4f5b2947","strategy",0.862068965517241
"59d8e1d4a49b8","information",0.931034482758621
"59e2904ac4edd","strategy",0.379310344827586
"59e787b63b38d","information",0.448275862068966
"59e7b935bdfd2","no information",0.689655172413793
"59ec506d25b40","no information",0.655172413793103
"59ec62379932e","strategy",0.482758620689655
"59f04185d753e","information",0.655172413793103
"59f1cf12911ca","information",0.482758620689655
"59f8a698359ae","strategy",0.896551724137931
"59fb4703ac4c3","no information",0.344827586206897
